"","V1","V2","V3"
"V296","0.2950000","0.3774973","0.4354523"
"V297","0.2960000","0.3774767","0.4340343"
"V298","0.2970000","0.3773712","0.4327421"
"V299","0.2980000","0.3771371","0.4315695"
"V300","0.2990000","0.3767327","0.4305030"
"V301","0.3000000","0.3761255","0.4295286"
"V302","0.3010000","0.3753252","0.4286258"
"V303","0.3020000","0.3743574","0.4277665"
"V304","0.3030000","0.3732499","0.4269280"
"V305","0.3040000","0.3720324","0.4260927"
"V306","0.3050000","0.3707367","0.4252482"
"V307","0.3060000","0.3693963","0.4243874"
"V308","0.3070000","0.3680472","0.4235084"
"V309","0.3080000","0.3667268","0.4226142"
"V310","0.3090000","0.3654748","0.4217134"
"V311","0.3100000","0.3643307","0.4208172"
"V312","0.3110000","0.3633077","0.4199410"
"V313","0.3120000","0.3624007","0.4191171"
"V314","0.3130000","0.3616016","0.4183729"
"V315","0.3140000","0.3608994","0.4177296"
"V316","0.3150000","0.3602799","0.4172015"
"V317","0.3160000","0.3597260","0.4167969"
"V318","0.3170000","0.3592179","0.4165172"
"V319","0.3180000","0.3587326","0.4163575"
"V320","0.3190000","0.3582442","0.4163065"
"V321","0.3200000","0.3577242","0.4163469"
"V322","0.3210000","0.3571543","0.4164568"
"V323","0.3220000","0.3565338","0.4165852"
"V324","0.3230000","0.3558639","0.4166771"
"V325","0.3240000","0.3551471","0.4166821"
"V326","0.3250000","0.3543868","0.4165542"
"V327","0.3260000","0.3535874","0.4162520"
"V328","0.3270000","0.3527548","0.4157385"
"V329","0.3280000","0.3518957","0.4149810"
"V330","0.3290000","0.3510179","0.4139516"
"V331","0.3300000","0.3501303","0.4126266"
"V332","0.3310000","0.3492407","0.4109910"
"V333","0.3320000","0.3483416","0.4090665"
"V334","0.3330000","0.3474207","0.4068910"
"V335","0.3340000","0.3464669","0.4045071"
"V336","0.3350000","0.3454709","0.4019617"
"V337","0.3360000","0.3444248","0.3993056"
"V338","0.3370000","0.3433222","0.3965943"
"V339","0.3380000","0.3421580","0.3938874"
"V340","0.3390000","0.3409287","0.3912487"
"V341","0.3400000","0.3396325","0.3887463"
"V342","0.3410000","0.3382681","0.3864461"
"V343","0.3420000","0.3368471","0.3843801"
"V344","0.3430000","0.3353955","0.3825669"
"V345","0.3440000","0.3339370","0.3810148"
"V346","0.3450000","0.3324925","0.3797205"
"V347","0.3460000","0.3310802","0.3786691"
"V348","0.3470000","0.3297152","0.3778346"
"V349","0.3480000","0.3284101","0.3771793"
"V350","0.3490000","0.3271745","0.3766542"
"V351","0.3500000","0.3260151","0.3761990"
"V352","0.3510000","0.3249364","0.3757448"
"V353","0.3520000","0.3239325","0.3752426"
"V354","0.3530000","0.3229712","0.3746414"
