"","V1","V2","V3"
"V650"," 0.6490000","-1.0147339","-0.9247198"
"V651"," 0.6500000","-1.0132050","-0.9263558"
"V652"," 0.6510000","-1.0116664","-0.9280126"
"V653"," 0.6520000","-1.0101185","-0.9296894"
"V654"," 0.6530000","-1.0085617","-0.9313854"
"V655"," 0.6540000","-1.0069965","-0.9331002"
"V656"," 0.6550000","-1.0054231","-0.9348328"
"V657"," 0.6560000","-1.0038421","-0.9365827"
"V658"," 0.657000","-1.002254","-0.938349"
"V659"," 0.6580000","-1.0006589","-0.9401311"
"V660"," 0.6590000","-0.9990576","-0.9419282"
"V661"," 0.6600000","-0.9974505","-0.9437395"
"V662"," 0.6610000","-0.9958379","-0.9455643"
"V663"," 0.6620000","-0.9942203","-0.9474018"
"V664"," 0.6630000","-0.9925984","-0.9492512"
"V665"," 0.6640000","-0.9909724","-0.9511116"
"V666"," 0.6650000","-0.9893429","-0.9529824"
"V667"," 0.6660000","-0.9877105","-0.9548625"
"V668"," 0.6670000","-0.9860755","-0.9567513"
"V669"," 0.6680000","-0.9844386","-0.9586478"
"V670"," 0.6690000","-0.9828002","-0.9605513"
"V671"," 0.6700000","-0.9811607","-0.9624613"
"V672"," 0.6710000","-0.9795206","-0.9643769"
"V673"," 0.6720000","-0.9778805","-0.9662973"
"V674"," 0.6730000","-0.9762408","-0.9682217"
"V675"," 0.6740000","-0.9746022","-0.9701491"
"V676"," 0.6750000","-0.9729652","-0.9720787"
"V677"," 0.6760000","-0.9713304","-0.9740097"
"V678"," 0.6770000","-0.9696982","-0.9759411"
"V679"," 0.6780000","-0.9680693","-0.9778722"
"V680"," 0.6790000","-0.9664441","-0.9798022"
"V681"," 0.6800000","-0.9648233","-0.9817301"
"V682"," 0.6810000","-0.9632073","-0.9836552"
"V683"," 0.6820000","-0.9615968","-0.9855767"
"V684"," 0.6830000","-0.9599922","-0.9874937"
"V685"," 0.6840000","-0.9583941","-0.9894055"
