"","V1","V2","V3"
"V476","0.4750000","0.2590432","1.5288473"
"V477","0.4760000","0.2570793","1.5288774"
"V478","0.4770000","0.2551391","1.5288393"
"V479","0.4780000","0.2532232","1.5287317"
"V480","0.4790000","0.2513322","1.5285539"
"V481","0.4800000","0.2494667","1.5283049"
"V482","0.4810000","0.2476271","1.5279839"
"V483","0.4820000","0.2458143","1.5275899"
"V484","0.4830000","0.2440286","1.5271222"
"V485","0.4840000","0.2422707","1.5265800"
"V486","0.4850000","0.2405411","1.5259625"
"V487","0.4860000","0.2388404","1.5252690"
"V488","0.4870000","0.2371691","1.5244987"
"V489","0.4880000","0.2355278","1.5236510"
"V490","0.4890000","0.2339169","1.5227253"
"V491","0.4900000","0.2323371","1.5217208"
"V492","0.4910000","0.2307888","1.5206371"
"V493","0.4920000","0.2292723","1.5194738"
"V494","0.4930000","0.2277881","1.5182307"
"V495","0.4940000","0.2263366","1.5169077"
"V496","0.4950000","0.2249181","1.5155046"
"V497","0.496000","0.223533","1.514021"
"V498","0.4970000","0.2221819","1.5124575"
"V499","0.498000","0.220865","1.510813"
"V500","0.4990000","0.2195827","1.5090891"
"V501","0.5000000","0.2183354","1.5072844"
"V502","0.5010000","0.2171233","1.5053995"
"V503","0.5020000","0.2159468","1.5034345"
"V504","0.5030000","0.2148062","1.5013897"
"V505","0.5040000","0.2137017","1.4992653"
"V506","0.5050000","0.2126335","1.4970615"
"V507","0.5060000","0.2116021","1.4947787"
"V508","0.5070000","0.2106074","1.4924172"
"V509","0.5080000","0.2096499","1.4899776"
"V510","0.5090000","0.2087296","1.4874601"
"V511","0.5100000","0.2078467","1.4848654"
"V512","0.5110000","0.2070014","1.4821939"
"V513","0.5120000","0.2061937","1.4794463"
"V514","0.513000","0.205424","1.476623"
"V515","0.5140000","0.2046921","1.4737254"
"V516","0.5150000","0.2039983","1.4707534"
"V517","0.5160000","0.2033426","1.4677082"
"V518","0.517000","0.202725","1.464590"
"V519","0.5180000","0.2021457","1.4614011"
"V520","0.5190000","0.2016045","1.4581410"
"V521","0.5200000","0.2011015","1.4548111"
"V522","0.5210000","0.2006368","1.4514125"
"V523","0.5220000","0.2002102","1.4479461"
"V524","0.5230000","0.1998218","1.4444130"
"V525","0.5240000","0.1994715","1.4408143"
"V526","0.5250000","0.1991591","1.4371513"
"V527","0.5260000","0.1988847","1.4334250"
"V528","0.527000","0.198648","1.429637"
"V529","0.528000","0.198449","1.425788"
"V530","0.5290000","0.1982875","1.4218800"
"V531","0.5300000","0.1981634","1.4179139"
"V532","0.5310000","0.1980766","1.4138914"
"V533","0.5320000","0.1980267","1.4098138"
"V534","0.5330000","0.1980136","1.4056827"
"V535","0.534000","0.198037","1.401500"
"V536","0.5350000","0.1980969","1.3972661"
"V537","0.5360000","0.1981928","1.3929830"
"V538","0.5370000","0.1983248","1.3886513"
"V539","0.5380000","0.1984924","1.3842727"
"V540","0.5390000","0.1986952","1.3798488"
"V541","0.540000","0.198933","1.375381"
"V542","0.5410000","0.1992055","1.3708723"
"V543","0.5420000","0.1995121","1.3663230"
"V544","0.5430000","0.1998527","1.3617352"
"V545","0.5440000","0.2002267","1.3571106"
"V546","0.5450000","0.2006338","1.3524508"
"V547","0.5460000","0.2010736","1.3477575"
