"","V1","V2","V3"
"V316"," 0.3150000","-0.6157651","-0.5768118"
"V317"," 0.3160000","-0.6159414","-0.5769272"
"V318"," 0.3170000","-0.6161242","-0.5770455"
"V319"," 0.3180000","-0.6163134","-0.5771670"
"V320"," 0.3190000","-0.6165092","-0.5772917"
"V321"," 0.3200000","-0.6167115","-0.5774196"
"V322"," 0.3210000","-0.6169205","-0.5775512"
"V323"," 0.3220000","-0.6171361","-0.5776867"
"V324"," 0.3230000","-0.6173584","-0.5778266"
"V325"," 0.3240000","-0.6175876","-0.5779710"
"V326"," 0.3250000","-0.6178235","-0.5781203"
"V327"," 0.3260000","-0.6180663","-0.5782749"
"V328"," 0.3270000","-0.6183159","-0.5784350"
"V329"," 0.3280000","-0.6185725","-0.5786010"
"V330"," 0.329000","-0.618836","-0.578773"
"V331"," 0.3300000","-0.6191064","-0.5789516"
"V332"," 0.3310000","-0.6193838","-0.5791368"
"V333"," 0.3320000","-0.6196682","-0.5793291"
"V334"," 0.3330000","-0.6199596","-0.5795287"
"V335"," 0.3340000","-0.6202579","-0.5797358"
"V336"," 0.3350000","-0.6205633","-0.5799508"
"V337"," 0.3360000","-0.6208756","-0.5801740"
"V338"," 0.3370000","-0.6211948","-0.5804055"
"V339"," 0.3380000","-0.6215210","-0.5806457"
"V340"," 0.3390000","-0.6218542","-0.5808948"
"V341"," 0.3400000","-0.6221942","-0.5811531"
"V342"," 0.3410000","-0.6225412","-0.5814208"
"V343"," 0.3420000","-0.6228950","-0.5816981"
"V344"," 0.3430000","-0.6232556","-0.5819854"
"V345"," 0.3440000","-0.6236229","-0.5822828"
"V346"," 0.3450000","-0.6239970","-0.5825907"
"V347"," 0.3460000","-0.6243778","-0.5829091"
"V348"," 0.3470000","-0.6247652","-0.5832384"
"V349"," 0.3480000","-0.6251592","-0.5835788"
"V350"," 0.3490000","-0.6255597","-0.5839304"
"V351"," 0.3500000","-0.6259667","-0.5842936"
"V352"," 0.3510000","-0.6263800","-0.5846685"
"V353"," 0.3520000","-0.6267996","-0.5850553"
"V354"," 0.3530000","-0.6272255","-0.5854542"
"V355"," 0.3540000","-0.6276575","-0.5858655"
"V356"," 0.3550000","-0.6280956","-0.5862893"
"V357"," 0.3560000","-0.6285397","-0.5867258"
"V358"," 0.3570000","-0.6289897","-0.5871752"
"V359"," 0.3580000","-0.6294454","-0.5876376"
"V360"," 0.3590000","-0.6299068","-0.5881134"
"V361"," 0.3600000","-0.6303739","-0.5886026"
"V362"," 0.3610000","-0.6308463","-0.5891054"
"V363"," 0.3620000","-0.6313242","-0.5896220"
"V364"," 0.3630000","-0.6318073","-0.5901525"
"V365"," 0.3640000","-0.6322955","-0.5906971"
"V366"," 0.3650000","-0.6327887","-0.5912560"
"V367"," 0.3660000","-0.6332868","-0.5918294"
"V368"," 0.3670000","-0.6337896","-0.5924172"
"V369"," 0.3680000","-0.6342971","-0.5930196"
"V370"," 0.3690000","-0.6348092","-0.5936363"
"V371"," 0.3700000","-0.6353257","-0.5942675"
"V372"," 0.3710000","-0.6358464","-0.5949131"
"V373"," 0.3720000","-0.6363713","-0.5955732"
"V374"," 0.3730000","-0.6369002","-0.5962479"
"V375"," 0.3740000","-0.6374329","-0.5969370"
"V376"," 0.3750000","-0.6379692","-0.5976407"
"V377"," 0.3760000","-0.6385090","-0.5983588"
"V378"," 0.3770000","-0.6390522","-0.5990913"
"V379"," 0.3780000","-0.6395986","-0.5998382"
"V380"," 0.3790000","-0.6401481","-0.6005993"
"V381"," 0.3800000","-0.6407004","-0.6013747"
"V382"," 0.3810000","-0.6412555","-0.6021641"
"V383"," 0.3820000","-0.6418131","-0.6029675"
"V384"," 0.3830000","-0.6423732","-0.6037847"
"V385"," 0.3840000","-0.6429355","-0.6046157"
"V386"," 0.3850000","-0.6434999","-0.6054602"
"V387"," 0.3860000","-0.6440663","-0.6063181"
